Sl. No.,State/ UT,Total EV,Total Vehicles Sold,% of Share of EV in Total Vehicles Sold,No of Charging Stations
1,Andaman and Nicobar Islands,191,35896,0.53,3
2,Andhra Pradesh,88534,4772995,1.85,327
3,Arunachal Pradesh,42,137145,0.03,9
4,Assam,150617,2599986,5.79,86
5,Bihar,214921,5763437,3.73,124
6,Chandigarh,12375,219391,5.64,12
7,Chhattisgarh,80348,2656935,3.02,149
8,Dadra and Nagar Haveli and Daman and Diu,468,90571,0.52,1
9,Delhi,216084,2799571,7.72,1886
10,Goa,20330,323748,6.28,113
11,Gujarat,191185,7450473,2.57,476
12,Haryana,81775,3703954,2.21,377
13,Himachal Pradesh,3043,636556,0.48,44
14,Jammu and Kashmir,19099,823164,2.32,47
15,Jharkhand,47400,2545053,1.86,135
16,Karnataka,350810,7315250,4.8,1041
17,Kerala,151029,3781393,3.99,852
18,Ladakh,88,19645,0.45,11
19,Lakshadweep,19,2752,0.69,1
20,Madhya Pradesh,144782,6812437,2.13,341
21,Maharashtra,439358,11055082,3.97,3079
22,Manipur,1273,168310,0.76,17
23,Meghalaya,572,162249,0.35,21
24,Mizoram,344,136845,0.25,13
25,Nagaland,27,119281,0.02,6
26,Odisha,97056,3355237,2.89,198
27,Puducherry,5933,252488,2.35,23
28,Punjab,56459,2973281,1.9,158
29,Rajasthan,233503,6490725,3.6,500
30,Sikkim,20,49884,0.04,2
31,Tamil Nadu,228850,8476042,2.7,643
32,Telangana,35000,17231633,0.2,481
33,Tripura,20113,264004,7.62,18
34,Uttar Pradesh,665247,15317699,4.34,582
35,Uttarakhand,48522,1120010,4.33,76
36,West Bengal,69220,5099551,1.36,318
